@RELATION demo 
@ATTRIBUTE f1 NUMERIC 
@ATTRIBUTE f2 NUMERIC 
@ATTRIBUTE f3 NUMERIC 
@ATTRIBUTE f4 NUMERIC 
@ATTRIBUTE f5 NUMERIC 
@ATTRIBUTE f6 NUMERIC 
@ATTRIBUTE class {-1,0,1} 
@DATA 
20,10,-10,0,-10,0,1 
120,20,10,10,0,-10,1 
70,120,20,0,10,0,1 
90,70,120,0,0,10,-1 
40,90,70,0,0,0,-1 
20,40,90,-5,0,0,1 
50,20,40,5,-5,0,1 
100,50,20,10,5,-5,-1 
0,100,50,-5,10,5,-1 
-70,0,100,-5,-5,10,-1 
0,-70,0,0,-5,-5,1 
70,0,-70,0,0,-5,1 
80,70,0,5,0,0,1 
130,80,70,5,5,0,1 
80,130,80,0,5,5,-1 
10,80,130,0,0,5,-1 
-50,10,80,-10,0,0,-1 
-160,-50,10,-15,-10,0,-1 
-210,-160,-50,-25,-15,-10,1 
-120,-210,-160,5,-25,-15,1 
-50,-120,-210,0,5,-25,-1 
-70,-50,-120,0,0,5,-1 
-70,-70,-50,0,0,0,1 
120,-70,-70,15,0,0,-1 
-20,120,-70,0,15,0,-1 
-170,-20,120,-15,0,15,-1 
-10,-170,-20,-15,-15,0,1 
-80,-10,-170,0,-15,-15,1 
-40,-80,-10,5,0,-15,1 
10,-40,-80,10,5,0,-1 
-110,10,-40,-10,10,5,1 
40,-110,10,10,-10,10,1 
80,40,-110,5,10,-10,-1 
-10,80,40,-5,5,10,1 
0,-10,80,0,-5,5,1 
0,0,-10,0,0,-5,-1 
-50,0,0,-10,0,0,-1 
-130,-50,0,-5,-10,0,-1 
-30,-130,-50,-5,-5,-10,-1 
-110,-30,-130,-30,-5,-5,1 
-10,-110,-30,10,-30,-5,-1 
-90,-10,-110,-5,10,-30,1 
-80,-90,-10,10,-5,10,1 
-20,-80,-90,5,10,-5,1 
-60,-20,-80,0,5,10,1 
0,-60,-20,0,0,5,1 
0,0,-60,0,0,0,1 
120,0,0,0,0,0,-1 
10,120,0,-5,0,0,1 
30,10,120,5,-5,0,1 
50,30,10,5,5,-5,1 
10,50,30,0,5,5,1 
0,10,50,0,0,5,1 
220,0,10,15,0,0,1 
90,220,0,5,15,0,-1 
150,90,220,0,5,15,-1 
40,150,90,0,0,5,-1 
-50,40,150,-15,0,0,1 
-10,-50,40,5,-15,0,1 
-10,-10,-50,0,5,-15,-1 
-40,-10,-10,-5,0,5,-1 
-10,-40,-10,0,-5,0,-1 
-110,-10,-40,-5,0,-5,1 
70,-110,-10,20,-5,0,1 
200,70,-110,15,20,-5,1 
90,200,70,0,15,20,-1 
30,90,200,0,0,15,-1 
0,30,90,0,0,0,1 
120,0,30,10,0,0,-1 
100,120,0,0,10,0,-1 
60,100,120,0,0,10,-1 
60,60,100,-5,0,0,1 
-80,60,60,0,-5,0,1 
10,-80,60,5,0,-5,-1 
-20,10,-80,0,5,0,1 
110,-20,10,5,0,5,-1 
40,110,-20,0,5,0,-1 
40,40,110,0,0,5,1 
-20,40,40,0,0,0,-1 
-40,-20,40,0,0,0,-1 
-60,-40,-20,-10,0,0,-1 
-60,-60,-40,0,-10,0,1 
0,-60,-60,5,0,-10,-1 
30,0,-60,-5,5,0,-1 
-20,30,0,-5,-5,5,-1 
-120,-20,30,-10,-5,-5,1 
-20,-120,-20,0,-10,-5,-1 
-110,-20,-120,0,0,-10,1 
-20,-110,-20,5,0,0,1 
0,-20,-110,0,5,0,1 
-20,0,-20,0,0,5,1 
140,-20,0,15,0,0,1 
150,140,-20,5,15,0,-1 
0,150,140,-5,5,15,1 
20,0,150,5,-5,5,1 
-10,20,0,0,5,-5,-1 
0,-10,20,-5,0,5,-1 
0,0,-10,0,-5,0,-1 
-140,0,0,-15,0,-5,-1 
-150,-140,0,-10,-15,0,1 
-30,-150,-140,10,-10,-15,1 
20,-30,-150,0,10,-10,-1 
-130,20,-30,-20,0,10,-1 
-30,-130,20,0,-20,0,-1 
0,-30,-130,-10,0,-20,1 
50,0,-30,5,-10,0,1 
0,50,0,0,5,-10,-1 
0,0,50,-5,0,5,-1 
0,0,0,0,-5,0,-1 
0,0,0,0,0,-5,-1 
-10,0,0,0,0,0,1 
30,-10,0,10,0,0,1 
50,30,-10,5,10,0,1 
20,50,30,10,5,10,1 
0,20,50,0,10,5,1 
0,0,20,0,0,10,1 
-20,0,0,0,0,0,-1 
0,-20,0,-5,0,0,-1 
-10,0,-20,0,-5,0,-1 
-60,-10,0,-5,0,-5,-1 
-60,-60,-10,-20,-5,0,-1 
-90,-60,-60,0,-20,-5,-1 
-30,-90,-60,0,0,-20,1 
-60,-30,-90,10,0,0,-1 
-80,-60,-30,0,10,0,-1 
-50,-80,-60,0,0,10,1 
50,-50,-80,20,0,0,1 
-30,50,-50,0,20,0,1 
40,-30,50,5,0,20,-1 
0,40,-30,-5,5,0,1 
30,0,40,10,-5,5,1 
-40,30,0,0,10,-5,-1 
-70,-40,30,-5,0,10,-1 
-80,-70,-40,-10,-5,0,1 
60,-80,-70,5,-10,-5,-1 
-40,60,-80,-10,5,-10,-1 
-170,-40,60,-10,-10,5,-1 
-70,-170,-40,-15,-10,-10,-1 
-150,-70,-170,-55,-15,-10,-1 
-310,-150,-70,-35,-55,-15,-1 
-330,-310,-150,-5,-35,-55,1 
-310,-330,-310,30,-5,-35,-1 
-100,-310,-330,0,30,-5,-1 
-200,-100,-310,-10,0,30,1 
10,-200,-100,20,-10,0,-1 
-40,10,-200,0,20,-10,-1 
-110,-40,10,-5,0,20,-1 
-160,-110,-40,-15,-5,0,-1 
-50,-160,-110,-35,-15,-5,-1 
0,-50,-160,0,-35,-15,1 
0,0,-50,30,0,-35,-1 
-30,0,0,-5,30,0,-1 
10,-30,0,-10,-5,30,1 
40,10,-30,0,-10,-5,1 
70,40,10,15,0,-10,1 
-30,70,40,5,15,0,1 
60,-30,70,10,5,15,1 
100,60,-30,0,10,5,-1 
-70,100,60,0,0,10,-1 
-190,-70,100,-25,0,0,-1 
-130,-190,-70,-20,-25,0,1 
10,-130,-190,20,-20,-25,1 
-20,10,-130,0,20,-20,1 
20,-20,10,5,0,20,-1 
-140,20,-20,-25,5,0,-1 
-90,-140,20,-20,-25,5,1 
10,-90,-140,20,-20,-25,1 
110,10,-90,25,20,-20,-1 
-40,110,10,-10,25,20,1 
-50,-40,110,0,-10,25,1 
20,-50,-40,5,0,-10,-1 
-200,20,-50,-30,5,0,-1 
-150,-200,20,-35,-30,5,-1 
-30,-150,-200,-20,-35,-30,1 
10,-30,-150,30,-20,-35,1 
50,10,-30,5,30,-20,1 
20,50,10,0,5,30,1 
-20,20,50,5,0,5,-1 
-130,-20,20,-25,5,0,1 
-20,-130,-20,0,-25,5,-1 
-30,-20,-130,-5,0,-25,1 
80,-30,-20,20,-5,0,1 
20,80,-30,10,20,-5,1 
70,20,80,25,10,20,-1 
30,70,20,0,25,10,1 
70,30,70,5,0,25,-1 
20,70,30,-5,5,0,1 
70,20,70,10,-5,5,-1 
-20,70,20,-10,10,-5,-1 
-20,-20,70,0,-10,10,-1 
-90,-20,-20,-10,0,-10,1 
-20,-90,-20,0,-10,0,1 
130,-20,-90,25,0,-10,1 
60,130,-20,0,25,0,1 
0,60,130,5,0,25,1 
20,0,60,0,5,0,1 
230,20,0,5,0,5,-1 
0,230,20,0,5,0,1 
30,0,230,0,0,5,-1 
-50,30,0,0,0,0,-1 
-80,-50,30,-15,0,0,1 
40,-80,-50,15,-15,0,1 
20,40,-80,0,15,-15,-1 
-10,20,40,0,0,15,-1 
-10,-10,20,-5,0,0,-1 
-120,-10,-10,-30,-5,0,1 
-50,-120,-10,5,-30,-5,1 
50,-50,-120,20,5,-30,-1 
20,50,-50,0,20,5,-1 
-20,20,50,-10,0,20,1 
-30,-20,20,0,-10,0,-1 
-110,-30,-20,-20,0,-10,-1 
-90,-110,-30,-25,-20,0,-1 
-40,-90,-110,-5,-25,-20,-1 
-100,-40,-90,-25,-5,-25,1 
-30,-100,-40,5,-25,-5,-1 
-90,-30,-100,-10,5,-25,1 
10,-90,-30,15,-10,5,1 
30,10,-90,10,15,-10,-1 
30,30,10,-10,10,15,1 
160,30,30,35,-10,10,-1 
60,160,30,-5,35,-10,-1 
30,60,160,-5,-5,35,-1 
0,30,60,-15,-5,-5,1 
60,0,30,10,-15,-5,-1 
-10,60,0,-5,10,-15,-1 
-40,-10,60,-10,-5,10,1 
20,-40,-10,5,-10,-5,-1 
-10,20,-40,-5,5,-10,1 
0,-10,20,0,-5,5,-1 
-60,0,-10,-20,0,-5,1 
0,-60,0,0,-20,0,-1 
-20,0,-60,-20,0,-20,1 
